competition_id,competition_name,game_count
11,La Liga,867
37,FA Women's Super League,457
7,Ligue 1,435
2,Premier League,418
12,Serie A,381
182,Liga F,240
49,NWSL,173
43,FIFA World Cup,147
135,Frauen Bundesliga,132
131,Serie A Women,130
72,Women's World Cup,116
1238,Indian Super league,115
55,UEFA Euro,102
9,1. Bundesliga,68
53,UEFA Women's Euro,62
1267,African Cup of Nations,52
223,Copa America,32
16,Champions League,18
44,Major League Soccer,6
87,Copa del Rey,3
35,UEFA Europa League,3
81,Liga Profesional,2
1470,FIFA U20 World Cup,1
116,North American League,1
