table_name,ordinal_position,column_name,data_type,is_nullable
competitions,1,competition_id,BIGINT,YES
competitions,2,season_id,BIGINT,YES
competitions,3,country_name,VARCHAR,YES
competitions,4,competition_name,VARCHAR,YES
competitions,5,competition_gender,VARCHAR,YES
competitions,6,competition_youth,BOOLEAN,YES
competitions,7,competition_international,BOOLEAN,YES
competitions,8,season_name,VARCHAR,YES
competitions,9,match_updated,VARCHAR,YES
competitions,10,match_updated_360,VARCHAR,YES
competitions,11,match_available_360,VARCHAR,YES
competitions,12,match_available,VARCHAR,YES
competitions,13,filename,VARCHAR,YES
events,1,id,UUID,YES
events,2,index,BIGINT,YES
events,3,period,BIGINT,YES
events,4,timestamp,TIME,YES
events,5,minute,BIGINT,YES
events,6,second,BIGINT,YES
events,7,type,"STRUCT(id BIGINT, ""name"" VARCHAR)",YES
events,8,possession,BIGINT,YES
events,9,possession_team,"STRUCT(id BIGINT, ""name"" VARCHAR)",YES
events,10,play_pattern,"STRUCT(id BIGINT, ""name"" VARCHAR)",YES
events,11,team,"STRUCT(id BIGINT, ""name"" VARCHAR)",YES
events,12,duration,DOUBLE,YES
events,13,tactics,"STRUCT(formation BIGINT, lineup STRUCT(player STRUCT(id BIGINT, ""name"" VARCHAR), ""position"" STRUCT(id BIGINT, ""name"" VARCHAR), jersey_number BIGINT)[])",YES
events,14,related_events,UUID[],YES
events,15,player,"STRUCT(id BIGINT, ""name"" VARCHAR)",YES
events,16,position,"STRUCT(id BIGINT, ""name"" VARCHAR)",YES
events,17,location,DOUBLE[],YES
events,18,pass,"STRUCT(recipient STRUCT(id BIGINT, ""name"" VARCHAR), length DOUBLE, angle DOUBLE, height STRUCT(id BIGINT, ""name"" VARCHAR), end_location DOUBLE[], body_part STRUCT(id BIGINT, ""name"" VARCHAR), ""type"" STRUCT(id BIGINT, ""name"" VARCHAR), switch BOOLEAN, outcome STRUCT(id BIGINT, ""name"" VARCHAR), aerial_won BOOLEAN, assisted_shot_id UUID, shot_assist BOOLEAN, ""cross"" BOOLEAN, through_ball BOOLEAN, technique STRUCT(id BIGINT, ""name"" VARCHAR), inswinging BOOLEAN, miscommunication BOOLEAN, cut_back BOOLEAN, deflected BOOLEAN, no_touch BOOLEAN, straight BOOLEAN, goal_assist BOOLEAN, outswinging BOOLEAN, backheel BOOLEAN)",YES
events,19,carry,STRUCT(end_location DOUBLE[]),YES
events,20,ball_receipt,"STRUCT(outcome STRUCT(id BIGINT, ""name"" VARCHAR))",YES
events,21,under_pressure,BOOLEAN,YES
events,22,duel,"STRUCT(""type"" STRUCT(id BIGINT, ""name"" VARCHAR), outcome STRUCT(id BIGINT, ""name"" VARCHAR))",YES
events,23,counterpress,BOOLEAN,YES
events,24,interception,"STRUCT(outcome STRUCT(id BIGINT, ""name"" VARCHAR))",YES
events,25,off_camera,BOOLEAN,YES
events,26,ball_recovery,"STRUCT(recovery_failure BOOLEAN, offensive BOOLEAN)",YES
events,27,shot,"STRUCT(statsbomb_xg DOUBLE, end_location DOUBLE[], key_pass_id UUID, outcome STRUCT(id BIGINT, ""name"" VARCHAR), first_time BOOLEAN, technique STRUCT(id BIGINT, ""name"" VARCHAR), body_part STRUCT(id BIGINT, ""name"" VARCHAR), ""type"" STRUCT(id BIGINT, ""name"" VARCHAR), freeze_frame STRUCT(""location"" DOUBLE[], player STRUCT(id BIGINT, ""name"" VARCHAR), ""position"" STRUCT(id BIGINT, ""name"" VARCHAR), teammate BOOLEAN)[], aerial_won BOOLEAN, one_on_one BOOLEAN, saved_to_post BOOLEAN, deflected BOOLEAN, saved_off_target BOOLEAN, open_goal BOOLEAN, follows_dribble BOOLEAN, redirect BOOLEAN, kick_off BOOLEAN)",YES
