competition,season,matches,first_match,last_match
La Liga,2015/2016,380,2015-08-21,2016-05-15
Premier League,2015/2016,380,2015-08-08,2016-05-17
Serie A,2015/2016,380,2015-08-22,2016-05-15
Ligue 1,2015/2016,377,2015-08-07,2016-05-14
Liga F,2023/2024,240,2023-09-15,2024-06-16
NWSL,2023,137,2023-03-25,2023-11-12
FA Women's Super League,2023/2024,132,2023-10-01,2024-05-18
Frauen Bundesliga,2023/2024,132,2023-09-15,2024-05-20
FA Women's Super League,2020/2021,131,2020-09-05,2021-05-09
Serie A Women,2023/2024,130,2023-09-16,2024-05-19
Indian Super league,2021/2022,115,2021-11-19,2022-03-20
FA Women's Super League,2018/2019,107,2018-09-09,2019-05-11
FA Women's Super League,2019/2020,87,2019-09-07,2020-02-23
FIFA World Cup,2018,64,2018-06-14,2018-07-15
FIFA World Cup,2022,64,2022-11-20,2022-12-18
Women's World Cup,2023,64,2023-07-20,2023-08-20
African Cup of Nations,2023,52,2024-01-13,2024-02-11
Women's World Cup,2019,52,2019-06-07,2019-07-07
UEFA Euro,2020,51,2021-06-11,2021-07-11
UEFA Euro,2024,51,2024-06-14,2024-07-14
La Liga,2014/2015,38,2014-08-24,2015-05-23
Premier League,2003/2004,38,2003-08-16,2004-05-15
La Liga,2011/2012,37,2011-08-29,2012-05-12
La Liga,2017/2018,36,2017-08-20,2018-05-20
NWSL,2018,36,2018-04-15,2018-08-12
La Liga,2009/2010,35,2009-09-12,2010-05-16
La Liga,2020/2021,35,2020-09-27,2021-05-16
1. Bundesliga,2015/2016,34,2015-08-15,2016-05-14
1. Bundesliga,2023/2024,34,2023-08-19,2024-05-18
La Liga,2016/2017,34,2016-08-20,2017-05-21
La Liga,2018/2019,34,2018-08-18,2019-05-19
La Liga,2010/2011,33,2010-08-29,2011-05-11
La Liga,2019/2020,33,2019-09-21,2020-07-19
Copa America,2024,32,2024-06-21,2024-07-15
La Liga,2012/2013,32,2012-08-19,2013-05-12
Ligue 1,2022/2023,32,2022-08-06,2023-06-03
La Liga,2008/2009,31,2008-08-31,2009-05-10
La Liga,2013/2014,31,2013-08-18,2014-05-17
UEFA Women's Euro,2022,31,2022-07-06,2022-07-31
UEFA Women's Euro,2025,31,2025-07-02,2025-07-27
La Liga,2007/2008,27,2007-08-26,2008-05-17
La Liga,2006/2007,26,2006-08-28,2007-06-17
Ligue 1,2021/2022,26,2021-08-29,2022-05-21
La Liga,2005/2006,17,2005-10-01,2006-02-25
La Liga,2004/2005,7,2004-10-16,2005-05-01
FIFA World Cup,1970,6,1970-06-03,1970-06-21
FIFA World Cup,1974,6,1974-06-19,1974-07-07
Major League Soccer,2023,6,2023-08-27,2023-10-22
FIFA World Cup,1986,3,1986-06-22,1986-06-29
UEFA Europa League,1988/1989,3,1989-03-15,1989-05-03
FIFA World Cup,1958,2,1958-06-24,1958-06-29
Champions League,1970/1971,1,1971-06-02,1971-06-02
Champions League,1971/1972,1,1972-05-31,1972-05-31
Champions League,1972/1973,1,1973-05-30,1973-05-30
Champions League,1999/2000,1,1999-11-23,1999-11-23
Champions League,2003/2004,1,2004-05-26,2004-05-26
Champions League,2004/2005,1,2005-05-25,2005-05-25
Champions League,2006/2007,1,2007-05-23,2007-05-23
Champions League,2008/2009,1,2009-05-27,2009-05-27
Champions League,2009/2010,1,2010-05-22,2010-05-22
Champions League,2010/2011,1,2011-05-28,2011-05-28
Champions League,2011/2012,1,2012-05-19,2012-05-19
Champions League,2012/2013,1,2013-05-25,2013-05-25
Champions League,2013/2014,1,2014-05-24,2014-05-24
Champions League,2014/2015,1,2015-06-06,2015-06-06
Champions League,2015/2016,1,2016-05-28,2016-05-28
Champions League,2016/2017,1,2017-06-03,2017-06-03
Champions League,2017/2018,1,2018-05-26,2018-05-26
Champions League,2018/2019,1,2019-06-01,2019-06-01
Copa del Rey,1977/1978,1,1978-04-19,1978-04-19
Copa del Rey,1982/1983,1,1983-06-04,1983-06-04
Copa del Rey,1983/1984,1,1984-05-05,1984-05-05
FIFA U20 World Cup,1979,1,1979-09-07,1979-09-07
FIFA World Cup,1962,1,1962-05-30,1962-05-30
FIFA World Cup,1990,1,1990-06-24,1990-06-24
La Liga,1973/1974,1,1974-02-17,1974-02-17
Liga Profesional,1981,1,1981-04-10,1981-04-10
Liga Profesional,1997/1998,1,1997-10-25,1997-10-25
North American League,1977,1,1977-08-28,1977-08-28
Serie A,1986/1987,1,1986-11-09,1986-11-09
