competition,season,matches,matches_with_events,events,events_per_match
Ligue 1,2015/2016,377,377,1358593.0,3604.0
Serie A,2015/2016,380,380,1353739.0,3562.0
Premier League,2015/2016,380,380,1313773.0,3457.0
La Liga,2015/2016,380,380,1295354.0,3409.0
Liga F,2023/2024,240,240,835429.0,3481.0
FA Women's Super League,2023/2024,132,132,495189.0,3751.0
NWSL,2023,137,137,462436.0,3375.0
Frauen Bundesliga,2023/2024,132,132,459696.0,3483.0
FA Women's Super League,2020/2021,131,131,443295.0,3384.0
Serie A Women,2023/2024,130,130,432487.0,3327.0
FA Women's Super League,2018/2019,107,107,356568.0,3332.0
Indian Super league,2021/2022,115,115,344667.0,2997.0
FA Women's Super League,2019/2020,87,87,292253.0,3359.0
FIFA World Cup,2022,64,64,234637.0,3666.0
FIFA World Cup,2018,64,64,227825.0,3560.0
Women's World Cup,2023,64,64,226118.0,3533.0
UEFA Euro,2020,51,51,192664.0,3778.0
UEFA Euro,2024,51,51,187924.0,3685.0
Women's World Cup,2019,52,52,176442.0,3393.0
African Cup of Nations,2023,52,52,162903.0,3133.0
La Liga,2011/2012,37,37,145993.0,3946.0
La Liga,2014/2015,38,38,142957.0,3762.0
La Liga,2020/2021,35,35,139030.0,3972.0
1. Bundesliga,2023/2024,34,34,137765.0,4052.0
La Liga,2017/2018,36,36,136538.0,3793.0
La Liga,2018/2019,34,34,131702.0,3874.0
La Liga,2010/2011,33,33,130899.0,3967.0
La Liga,2012/2013,32,32,130457.0,4077.0
Ligue 1,2022/2023,32,32,129490.0,4047.0
Premier League,2003/2004,38,38,129401.0,3405.0
La Liga,2019/2020,33,33,129058.0,3911.0
La Liga,2009/2010,35,35,128395.0,3668.0
La Liga,2016/2017,34,34,124813.0,3671.0
La Liga,2013/2014,31,31,118016.0,3807.0
1. Bundesliga,2015/2016,34,34,115240.0,3389.0
NWSL,2018,36,36,114163.0,3171.0
La Liga,2008/2009,31,31,107089.0,3454.0
UEFA Women's Euro,2025,31,31,105658.0,3408.0
UEFA Women's Euro,2022,31,31,105141.0,3392.0
Ligue 1,2021/2022,26,26,101766.0,3914.0
Copa America,2024,32,32,100324.0,3135.0
La Liga,2007/2008,27,27,96913.0,3589.0
La Liga,2006/2007,26,26,92656.0,3564.0
La Liga,2005/2006,17,17,57668.0,3392.0
La Liga,2004/2005,7,7,22204.0,3172.0
Major League Soccer,2023,6,6,21786.0,3631.0
FIFA World Cup,1970,6,6,20030.0,3338.0
FIFA World Cup,1974,6,6,19259.0,3210.0
UEFA Europa League,1988/1989,3,3,10086.0,3362.0
FIFA World Cup,1986,3,3,8471.0,2824.0
FIFA World Cup,1958,2,2,7341.0,3671.0
Champions League,2015/2016,1,1,4708.0,4708.0
Champions League,2011/2012,1,1,4695.0,4695.0
Champions League,2004/2005,1,1,4648.0,4648.0
Champions League,2010/2011,1,1,4326.0,4326.0
Champions League,2013/2014,1,1,4263.0,4263.0
FIFA World Cup,1962,1,1,3754.0,3754.0
Liga Profesional,1997/1998,1,1,3572.0,3572.0
Champions League,1970/1971,1,1,3529.0,3529.0
Champions League,2017/2018,1,1,3497.0,3497.0
Champions League,2014/2015,1,1,3433.0,3433.0
Champions League,2009/2010,1,1,3410.0,3410.0
Champions League,2016/2017,1,1,3400.0,3400.0
Champions League,1999/2000,1,1,3384.0,3384.0
Champions League,2012/2013,1,1,3338.0,3338.0
Champions League,2008/2009,1,1,3329.0,3329.0
FIFA U20 World Cup,1979,1,1,3245.0,3245.0
Champions League,2003/2004,1,1,3223.0,3223.0
North American League,1977,1,1,3205.0,3205.0
Champions League,1972/1973,1,1,3195.0,3195.0
Champions League,2018/2019,1,1,3165.0,3165.0
FIFA World Cup,1990,1,1,3140.0,3140.0
Liga Profesional,1981,1,1,3086.0,3086.0
Champions League,2006/2007,1,1,3064.0,3064.0
Champions League,1971/1972,1,1,3027.0,3027.0
Serie A,1986/1987,1,1,3005.0,3005.0
La Liga,1973/1974,1,1,2974.0,2974.0
Copa del Rey,1977/1978,1,1,2917.0,2917.0
Copa del Rey,1983/1984,1,1,2596.0,2596.0
Copa del Rey,1982/1983,1,1,2557.0,2557.0
