competition,season,shots,shots_with_xg,mean_xg,total_xg
Serie A,2015/2016,9998,9998,0.092,920.78
Premier League,2015/2016,9908,9908,0.098,971.38
La Liga,2015/2016,9168,9168,0.107,979.77
Ligue 1,2015/2016,8814,8814,0.099,874.91
Liga F,2023/2024,6166,6166,0.106,652.95
Serie A Women,2023/2024,3734,3734,0.099,370.26
NWSL,2023,3530,3530,0.102,359.75
FA Women's Super League,2023/2024,3529,3529,0.111,393.11
Frauen Bundesliga,2023/2024,3300,3300,0.112,370.98
FA Women's Super League,2020/2021,3248,3248,0.117,380.43
Indian Super league,2021/2022,3095,3095,0.099,305.24
FA Women's Super League,2018/2019,2816,2816,0.107,300.72
FA Women's Super League,2019/2020,2223,2223,0.107,238.03
FIFA World Cup,2018,1706,1706,0.119,203.3
Women's World Cup,2023,1678,1678,0.119,199.77
FIFA World Cup,2022,1494,1494,0.126,188.02
UEFA Euro,2024,1340,1340,0.104,139.62
Women's World Cup,2019,1314,1314,0.109,142.85
UEFA Euro,2020,1289,1289,0.127,163.17
African Cup of Nations,2023,1244,1244,0.133,165.43
NWSL,2018,1041,1041,0.119,123.42
La Liga,2017/2018,971,971,0.112,109.17
La Liga,2014/2015,931,931,0.119,110.77
Premier League,2003/2004,929,929,0.099,91.76
1. Bundesliga,2023/2024,916,916,0.11,100.5
UEFA Women's Euro,2025,913,913,0.135,123.27
La Liga,2018/2019,887,887,0.109,97.08
La Liga,2016/2017,882,882,0.116,102.33
UEFA Women's Euro,2022,881,881,0.106,93.59
La Liga,2011/2012,873,873,0.125,109.22
Ligue 1,2022/2023,851,851,0.12,102.16
La Liga,2009/2010,843,843,0.107,90.39
1. Bundesliga,2015/2016,840,840,0.108,90.32
La Liga,2020/2021,839,839,0.128,107.42
La Liga,2013/2014,810,810,0.11,89.5
Copa America,2024,790,790,0.132,104.37
La Liga,2008/2009,765,765,0.12,91.57
La Liga,2019/2020,752,752,0.115,86.34
La Liga,2010/2011,739,739,0.114,84.53
La Liga,2012/2013,721,721,0.117,84.14
La Liga,2007/2008,700,700,0.102,71.23
La Liga,2006/2007,681,681,0.102,69.79
Ligue 1,2021/2022,681,681,0.116,79.3
La Liga,2005/2006,433,433,0.119,51.7
FIFA World Cup,1970,285,285,0.082,23.26
FIFA World Cup,1974,177,177,0.084,14.91
La Liga,2004/2005,158,158,0.084,13.32
Major League Soccer,2023,146,146,0.1,14.62
UEFA Europa League,1988/1989,89,89,0.08,7.13
FIFA World Cup,1958,88,88,0.118,10.41
FIFA World Cup,1986,88,88,0.092,8.13
Champions League,2011/2012,59,59,0.197,11.61
Champions League,2015/2016,53,53,0.23,12.17
North American League,1977,50,50,0.08,4.02
Champions League,2004/2005,49,49,0.229,11.22
FIFA World Cup,1962,43,43,0.076,3.26
Champions League,1972/1973,42,42,0.076,3.19
Champions League,1971/1972,35,35,0.059,2.07
Serie A,1986/1987,35,35,0.098,3.42
Champions League,1970/1971,34,34,0.084,2.86
Champions League,2009/2010,34,34,0.066,2.25
Champions League,2013/2014,32,32,0.115,3.67
Champions League,2014/2015,32,32,0.114,3.65
Liga Profesional,1997/1998,32,32,0.102,3.26
Champions League,2012/2013,30,30,0.153,4.59
Champions League,2018/2019,30,30,0.071,2.13
FIFA U20 World Cup,1979,30,30,0.072,2.17
Champions League,2017/2018,28,28,0.111,3.1
La Liga,1973/1974,28,28,0.11,3.08
Champions League,1999/2000,27,27,0.07,1.88
Champions League,2016/2017,27,27,0.074,1.99
Copa del Rey,1977/1978,27,27,0.072,1.95
Champions League,2010/2011,26,26,0.086,2.23
Copa del Rey,1982/1983,25,25,0.122,3.05
Liga Profesional,1981,24,24,0.119,2.86
Champions League,2008/2009,23,23,0.102,2.35
FIFA World Cup,1990,23,23,0.122,2.8
Copa del Rey,1983/1984,22,22,0.069,1.53
Champions League,2006/2007,20,20,0.069,1.38
Champions League,2003/2004,13,13,0.091,1.18
